location,Longitude float,Latitude float,geometry
15 NIAGARA ST,-79.39988,43.642178,POINT (-79.39987945556641 43.64217758178711)
8 HILL HEIGHTS RD,-79.49276,43.6391,POINT (-79.49275970458984 43.63909912109375)
569 KINGSTON RD,-79.29962,43.678326,POINT (-79.29962158203125 43.67832565307617)
81 BELGRAVIA AVE,-79.44286,43.698776,POINT (-79.44286346435547 43.69877624511719)
5 RESURRECTION RD,-79.53087,43.643898,POINT (-79.53086853027344 43.64389801025391)
5 BENLAMOND AVE,-79.2994,43.68038,POINT (-79.29940032958984 43.68038177490234)
302 BROOKDALE AVE,-79.41331,43.728115,POINT (-79.41330718994141 43.72811508178711)
103 FORD ST,-79.462036,43.67307,POINT (-79.4620361328125 43.67306900024414)
10 PEEL AVE,-79.42853,43.64413,POINT (-79.42852783203125 43.64413070678711)
3671 DUNDAS ST W,-79.49587,43.665443,POINT (-79.49587249755859 43.66544342041016)
33 MILL ST,-79.36005,43.650303,POINT (-79.36004638671875 43.65030288696289)
2671 DUNDAS ST W,-79.4587,43.664368,POINT (-79.45870208740234 43.66436767578125)
7 CROWN HILL PL,-79.49117,43.638626,POINT (-79.49117279052734 43.63862609863281)
23 VALPARAISO AVE,-79.246185,43.754765,POINT (-79.24618530273438 43.75476455688477)
96 ENDERBY RD,-79.30218,43.684498,POINT (-79.30217742919922 43.68449783325195)
222 CRANBROOKE AVE,-79.41144,43.727688,POINT (-79.41143798828125 43.72768783569336)
8 GLADSTONE AVE,-79.42768,43.64312,POINT (-79.42768096923828 43.64311981201172)
7 MICHAEL POWER PL,-79.52977,43.64437,POINT (-79.52976989746094 43.64437103271484)
5 HILL HEIGHTS RD,-79.4925,43.63846,POINT (-79.49250030517578 43.63845825195313)
15 LIVINGSTONE AVE,-79.44029,43.698498,POINT (-79.44029235839844 43.6984977722168)
38 GORMLEY AVE,-79.39887,43.694527,POINT (-79.39887237548828 43.69452667236328)
39 CROSSOVERS ST,-79.296486,43.685635,POINT (-79.29648590087891 43.68563461303711)
161 CRANBROOKE AVE,-79.40877,43.7278,POINT (-79.40876770019531 43.72779846191406)
3 HILL HEIGHTS RD,-79.49317,43.638206,POINT (-79.49317169189453 43.63820648193359)
363 SORAUREN AVE,-79.44421,43.64995,POINT (-79.44420623779297 43.64994812011719)
93 CROSSOVERS ST,-79.2948,43.686005,POINT (-79.2947998046875 43.68600463867188)
8 FORD ST,-79.46168,43.671276,POINT (-79.46167755126953 43.6712760925293)
3201 LAWRENCE AVE E,-79.24091,43.756,POINT (-79.24091339111328 43.75600051879883)
1121 BAY ST,-79.38844,43.668037,POINT (-79.38844299316406 43.66803741455078)
24 MABELLE AVE,-79.527145,43.646587,POINT (-79.52714538574219 43.64658737182617)
129 GLOUCESTER GRV,-79.44015,43.69598,POINT (-79.44014739990234 43.69598007202148)
65 WHISTLE POST ST,-79.295685,43.68658,POINT (-79.29568481445313 43.68658065795898)
833 DOVERCOURT RD,-79.4299,43.66338,POINT (-79.42990112304688 43.66337966918945)
147 GLOUCESTER GRV,-79.44096,43.695824,POINT (-79.44096374511719 43.69582366943359)
47 WHISTLE POST ST,-79.296364,43.686436,POINT (-79.29636383056641 43.68643569946289)
25 ROOSEVELT RD,-79.32888,43.689255,POINT (-79.32888031005859 43.68925476074219)
52 MABELLE AVE,-79.52945,43.646404,POINT (-79.52944946289063 43.64640426635742)
61 HOWARD ST,-79.37307,43.67134,POINT (-79.37306976318359 43.67134094238281)
1 FROBISHER AVE,-79.402885,43.69732,POINT (-79.40288543701172 43.69731903076172)
43 WHISTLE POST ST,-79.29649,43.68641,POINT (-79.29649353027344 43.68640899658203)
278 WOBURN AVE,-79.41221,43.726616,POINT (-79.41220855712891 43.72661590576172)
55 TOWN CENTRE CRT,-79.25419,43.773907,POINT (-79.25418853759766 43.77390670776367)
61 PENDRITH ST,-79.422455,43.66672,POINT (-79.42245483398438 43.66672134399414)
977 DOVERCOURT RD,-79.43133,43.666782,POINT (-79.43132781982422 43.66678237915039)
21 GLENORA AVE,-79.43875,43.69233,POINT (-79.43875122070313 43.69232940673828)
17 DENNIS AVE,-79.48729,43.68443,POINT (-79.48728942871094 43.68442916870117)
164 HIGHBOURNE RD,-79.40723,43.703594,POINT (-79.4072265625 43.70359420776367)
309 ROBINA AVE,-79.43864,43.690414,POINT (-79.43863677978516 43.69041442871094)
13 PENDRITH ST,-79.420815,43.66698,POINT (-79.42081451416016 43.6669807434082)
176 HIGHBOURNE RD,-79.40736,43.704002,POINT (-79.40735626220703 43.70400238037109)
115 DOUGLAS AVE,-79.41,43.724876,POINT (-79.41000366210938 43.72487640380859)
101 BOTFIELD AVE,-79.54135,43.64928,POINT (-79.54135131835938 43.6492805480957)
43 LINDNER ST,-79.46027,43.66812,POINT (-79.46027374267578 43.66812133789063)
119 ISABELLA ST,-79.378296,43.66896,POINT (-79.3782958984375 43.66896057128906)
445 MAIN ST,-79.30396,43.69357,POINT (-79.30396270751953 43.69356918334961)
367 WINONA DR,-79.43417,43.686844,POINT (-79.43417358398438 43.68684387207031)
270 LISGAR ST,-79.42657,43.64853,POINT (-79.42656707763672 43.64852905273438)
902 DOVERCOURT RD,-79.43109,43.66503,POINT (-79.43109130859375 43.66503143310547)
34 MILLER ST,-79.46003,43.668167,POINT (-79.46002960205078 43.66816711425781)
270 ROSELAWN AVE,-79.40753,43.709396,POINT (-79.40753173828125 43.70939636230469)
896 DOVERCOURT RD,-79.431015,43.664856,POINT (-79.43101501464844 43.66485595703125)
151 BEECROFT RD,-79.41425,43.764996,POINT (-79.41425323486328 43.76499557495117)
55 CHARLES ST E,-79.38353,43.6689,POINT (-79.38352966308594 43.66889953613281)
70 MACKENZIE CRES,-79.42627,43.64869,POINT (-79.42626953125 43.64868927001953)
362 KINGSWOOD RD,-79.28754,43.683426,POINT (-79.28753662109375 43.68342590332031)
33 ROGERS RD,-79.44017,43.686607,POINT (-79.44017028808594 43.68660736083984)
61 CHARLES ST E,-79.38324,43.668926,POINT (-79.38323974609375 43.66892623901367)
45 ROCKVALE AVE,-79.44099,43.68825,POINT (-79.44098663330078 43.68825149536133)
5 PELHAM PARK GDNS,-79.45805,43.66856,POINT (-79.45805358886719 43.66856002807617)
52 ELM RD,-79.430916,43.704807,POINT (-79.43091583251953 43.70480728149414)
167 OSLER ST,-79.45847,43.668472,POINT (-79.45847320556641 43.66847229003906)
116 ARDAGH ST,-79.484146,43.656628,POINT (-79.48414611816406 43.6566276550293)
524 CHURCH ST,-79.38078,43.664852,POINT (-79.38078308105469 43.66485214233398)
411 CASTLEFIELD AVE,-79.41486,43.708363,POINT (-79.41486358642578 43.7083625793457)
250 MANITOBA ST,-79.48996,43.624447,POINT (-79.48995971679688 43.62444686889648)
54 KINGSLEY AVE,-79.45439,43.668316,POINT (-79.45439147949219 43.66831588745117)
12 ARDAGH ST,-79.47961,43.657585,POINT (-79.47960662841797 43.65758514404297)
250 WILLOW AVE,-79.28852,43.677597,POINT (-79.28852081298828 43.67759704589844)
6 MOIR AVE,-79.436615,43.689808,POINT (-79.43661499023438 43.6898078918457)
220 LISGAR ST,-79.42614,43.64737,POINT (-79.42613983154297 43.64736938476563)
131 CRANBROOKE AVE,-79.40783,43.72813,POINT (-79.40782928466797 43.72813034057617)
3600 KEELE ST,-79.48764,43.75004,POINT (-79.48764038085938 43.75003814697266)
232 WILLOW AVE,-79.28834,43.677017,POINT (-79.28833770751953 43.67701721191406)
7 NEWMARKET AVE,-79.30766,43.68904,POINT (-79.30766296386719 43.68904113769531)
1034 DOVERCOURT RD,-79.43246,43.66839,POINT (-79.43245697021484 43.66838836669922)
460 WINONA DR,-79.43587,43.689095,POINT (-79.43586730957031 43.68909454345703)
1036 DOVERCOURT RD,-79.43251,43.668438,POINT (-79.43251037597656 43.66843795776367)
424 BRUNSWICK AVE,-79.40952,43.67045,POINT (-79.40952301025391 43.67044830322266)
35 BASTION ST,-79.40357,43.637203,POINT (-79.40357208251953 43.63720321655273)
2 MULBERRY CRES,-79.43552,43.687904,POINT (-79.43551635742188 43.68790435791016)
4 GILLESPIE AVE,-79.45873,43.670616,POINT (-79.45873260498047 43.67061614990234)
132 WILLOW AVE,-79.28694,43.673817,POINT (-79.28694152832031 43.6738166809082)
1049 DOVERCOURT RD,-79.43194,43.66847,POINT (-79.43193817138672 43.6684684753418)
50 AERODROME CRES,-79.357574,43.714737,POINT (-79.35757446289063 43.71473693847656)
425 CLENDENAN AVE,-79.47238,43.66315,POINT (-79.47238159179688 43.66315078735352)
200 MANITOBA ST,-79.490974,43.62433,POINT (-79.49097442626953 43.62432861328125)
50 EARLSDALE AVE,-79.43396,43.686935,POINT (-79.4339599609375 43.68693542480469)
213 ST CLEMENTS AVE,-79.40582,43.71124,POINT (-79.40582275390625 43.71123886108398)
27 GATWICK AVE,-79.30692,43.689995,POINT (-79.30692291259766 43.68999481201172)
275 FAIRLAWN AVE,-79.41331,43.72867,POINT (-79.41330718994141 43.72866821289063)
285 ST CLEMENTS AVE,-79.40849,43.710686,POINT (-79.40849304199219 43.71068572998047)
354 CLENDENAN AVE,-79.471954,43.660942,POINT (-79.47195434570313 43.66094207763672)
287 ST CLEMENTS AVE,-79.40856,43.710663,POINT (-79.40856170654297 43.71066284179688)
2150 QUEEN ST E,-79.29179,43.671967,POINT (-79.29178619384766 43.67196655273438)
190 MANITOBA ST,-79.49178,43.624084,POINT (-79.49178314208984 43.62408447265625)
415 JARVIS ST,-79.3768,43.66342,POINT (-79.37680053710938 43.66342163085938)
15 TOBERMORY DRIVE,-79.50888,43.760456,POINT (-79.50888061523438 43.76045608520508)
43 HAMMERSMITH AVE,-79.29364,43.669743,POINT (-79.29364013671875 43.66974258422852)
283 ST GERMAIN AVE,-79.41271,43.729866,POINT (-79.41271209716797 43.72986602783203)
42 HUBBARD BLVD,-79.2929,43.668533,POINT (-79.29290008544922 43.66853332519531)
151 HALLAM ST,-79.43213,43.66696,POINT (-79.43212890625 43.66696166992188)
155 VAUGHAN RD,-79.42161,43.685467,POINT (-79.42160797119141 43.68546676635742)
165 LOWTHER AVE,-79.40549,43.668655,POINT (-79.40548706054688 43.66865539550781)
75 HUNTLEY ST,-79.37864,43.67135,POINT (-79.37863922119141 43.67134857177734)
12 OAKMOUNT RD,-79.46283,43.654613,POINT (-79.46282958984375 43.65461349487305)
105 SCARBORO BEACH BLVD,-79.293144,43.670994,POINT (-79.29314422607422 43.67099380493164)
54 EPSOM AVE,-79.30545,43.692207,POINT (-79.30545043945313 43.69220733642578)
188 HALLAM ST,-79.43384,43.6669,POINT (-79.433837890625 43.66690063476563)
169 HURON ST,-79.39769,43.65756,POINT (-79.39768981933594 43.65755844116211)
219 FORT YORK BLVD,-79.40558,43.637016,POINT (-79.40557861328125 43.63701629638672)
111 PACIFIC AVE,-79.46401,43.656166,POINT (-79.46401214599609 43.65616607666016)
42 EPSOM AVE,-79.305954,43.69207,POINT (-79.30595397949219 43.69207000732422)
334 BRUNSWICK AVE,-79.40819,43.66703,POINT (-79.40818786621094 43.66703033447266)
69 CECIL ST,-79.39827,43.656166,POINT (-79.39826965332031 43.65616607666016)
203 HALLAM ST,-79.43458,43.666397,POINT (-79.43457794189453 43.66639709472656)
90 BURROWS HALL BLVD,-79.23273,43.792328,POINT (-79.23272705078125 43.79232788085938)
480 HIDDEN TRL,-79.4561,43.782967,POINT (-79.45610046386719 43.78296661376953)
89 MUTUAL ST,-79.37446,43.653927,POINT (-79.37445831298828 43.65392684936523)
59 CECIL ST,-79.397934,43.656193,POINT (-79.39793395996094 43.65619277954102)
488 INDIAN GRV,-79.457954,43.65415,POINT (-79.45795440673828 43.65414810180664)
310 GRANRAVINE DR,-79.51228,43.748344,POINT (-79.51228332519531 43.74834442138672)
88 MUTUAL ST,-79.375755,43.656498,POINT (-79.37575531005859 43.65649795532227)
14 PAPE AVE,-79.337105,43.659416,POINT (-79.33710479736328 43.65941619873047)
20 BLACKFRIAR AVE,-79.560814,43.69471,POINT (-79.56081390380859 43.69470977783203)
357 RUSHOLME RD,-79.43055,43.660038,POINT (-79.43054962158203 43.66003799438477)
777 INDIAN RD,-79.45884,43.663254,POINT (-79.45883941650391 43.66325378417969)
500 BRUNSWICK AVE,-79.41029,43.672783,POINT (-79.41029357910156 43.67278289794922)
173 WANLESS AVE,-79.39515,43.727898,POINT (-79.39514923095703 43.72789764404297)
663 INDIAN RD,-79.457115,43.660652,POINT (-79.45711517333984 43.66065216064453)
308 GRANRAVINE DR,-79.51229,43.748768,POINT (-79.51229095458984 43.7487678527832)
545 INDIAN RD,-79.4567,43.656624,POINT (-79.45670318603516 43.65662384033203)
14 INDIAN ROAD CRES,-79.457756,43.656425,POINT (-79.45775604248047 43.65642547607422)
111 RAGLAN AVE,-79.42072,43.68663,POINT (-79.42072296142578 43.68663024902344)
232 SEATON ST,-79.37045,43.660194,POINT (-79.37045288085938 43.66019439697266)
62 INDIAN ROAD CRES,-79.4591,43.658096,POINT (-79.45909881591797 43.65809631347656)
34 BRAEMAR AVE,-79.408554,43.70056,POINT (-79.40855407714844 43.7005615234375)
380 MILNER AVE,-79.233116,43.791115,POINT (-79.23311614990234 43.79111480712891)
11 WELLS ST,-79.40871,43.67086,POINT (-79.40870666503906 43.67086029052734)
298 INDIAN ROAD CRES,-79.4612,43.663254,POINT (-79.46119689941406 43.66325378417969)
212 DUNDAS ST E,-79.37341,43.657734,POINT (-79.3734130859375 43.65773391723633)
5 CLAXTON BLVD,-79.42064,43.68711,POINT (-79.42063903808594 43.68711090087891)
58 BRAEMAR AVE,-79.40865,43.70186,POINT (-79.40865325927734 43.70185852050781)
7 WELLS ST,-79.4085,43.670914,POINT (-79.40850067138672 43.67091369628906)
190 KINGSVIEW BLVD,-79.5652,43.69335,POINT (-79.56520080566406 43.69335174560547)
371 PERTH AVE,-79.451866,43.664753,POINT (-79.45186614990234 43.66475296020508)
200 KINGSVIEW BLVD,-79.5652,43.693356,POINT (-79.56520080566406 43.69335556030273)
88 WOLSELEY ST,-79.403755,43.648296,POINT (-79.40375518798828 43.64829635620117)
504 KING ST E,-79.35763,43.65622,POINT (-79.35762786865234 43.65621948242188)
97 KENWOOD AVE,-79.42295,43.68556,POINT (-79.42295074462891 43.6855583190918)
11 ORIOLE CRES,-79.40175,43.696217,POINT (-79.40174865722656 43.69621658325195)
335 PERTH AVE,-79.451385,43.663567,POINT (-79.45138549804688 43.66356658935547)
307 WYCHWOOD AVE,-79.42505,43.6874,POINT (-79.425048828125 43.68740081787109)
116 PATON RD,-79.447365,43.66005,POINT (-79.44736480712891 43.66004943847656)
81 GLEDHILL AVE,-79.30946,43.689423,POINT (-79.30946350097656 43.68942260742188)
124 PATON RD,-79.4476,43.659996,POINT (-79.44760131835938 43.65999603271484)
5 ALDWINCKLE HTS,-79.5025,43.765648,POINT (-79.50250244140625 43.76564788818359)
1 MASSEY SQ,-79.29421,43.696606,POINT (-79.29421234130859 43.69660568237305)
120 FRED YOUNG DR,-79.52039,43.730927,POINT (-79.52039337158203 43.73092651367188)
143 COTTINGHAM ST,-79.39776,43.679447,POINT (-79.39775848388672 43.67944717407227)
28 SALEM AVE,-79.432304,43.661633,POINT (-79.43230438232422 43.6616325378418)
499 WOBURN AVE,-79.42009,43.72453,POINT (-79.42008972167969 43.72452926635742)
14 PINEWOOD AVE,-79.42517,43.682785,POINT (-79.4251708984375 43.68278503417969)
103 WEST LODGE AVE,-79.43589,43.644928,POINT (-79.43589019775391 43.64492797851563)
142 FRED YOUNG DR,-79.521034,43.731102,POINT (-79.52103424072266 43.73110198974609)
