Income,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Average,73374,128448,105994,99784,67954,86717,65458,162674,80807,103047,170832,155470,75382,101323,216158,80648,87491,87416,104123,78561,70624,75768,78984,72289,99715
Median,61169,82870,71859,65546,53469,61725,53530,78626,64866,75825,68733,70710,51204,70920,87360,60673,66261,61189,69977,59220,58447,60064,66771,57953,84445
